asn,name,orig_prefix,orig_prefix_len,net24,target_ip,ptr,ping,score,reason
4780,SEEDNet,106.104.126.0/24,24,106.104.126.0/24,106.104.126.1,106-104-126-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.128.0/24,24,106.104.128.0/24,106.104.128.1,106-104-128-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.131.0/24,24,106.104.131.0/24,106.104.131.1,106-104-131-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.132.0/24,24,106.104.132.0/24,106.104.132.1,106-104-132-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.136.0/24,24,106.104.136.0/24,106.104.136.1,106-104-136-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.138.0/24,24,106.104.138.0/24,106.104.138.1,106-104-138-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.139.0/24,24,106.104.139.0/24,106.104.139.1,106-104-139-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.148.0/24,24,106.104.148.0/24,106.104.148.1,106-104-148-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.160.0/24,24,106.104.160.0/24,106.104.160.1,106-104-160-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.161.0/24,24,106.104.161.0/24,106.104.161.1,106-104-161-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.162.0/24,24,106.104.162.0/24,106.104.162.1,106-104-162-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.163.0/24,24,106.104.163.0/24,106.104.163.1,106-104-163-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.164.0/24,24,106.104.164.0/24,106.104.164.1,106-104-164-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.166.0/24,24,106.104.166.0/24,106.104.166.1,106-104-166-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.167.0/24,24,106.104.167.0/24,106.104.167.1,106-104-167-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.168.0/24,24,106.104.168.0/24,106.104.168.1,106-104-168-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.169.0/24,24,106.104.169.0/24,106.104.169.1,106-104-169-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.170.0/24,24,106.104.170.0/24,106.104.170.1,106-104-170-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.174.0/24,24,106.104.174.0/24,106.104.174.1,106-104-174-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.175.0/24,24,106.104.175.0/24,106.104.175.1,106-104-175-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.176.0/24,24,106.104.176.0/24,106.104.176.1,106-104-176-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.177.0/24,24,106.104.177.0/24,106.104.177.1,106-104-177-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.179.0/24,24,106.104.179.0/24,106.104.179.1,106-104-179-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.192.0/24,24,106.104.192.0/24,106.104.192.1,106-104-192-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.193.0/24,24,106.104.193.0/24,106.104.193.1,106-104-193-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.194.0/24,24,106.104.194.0/24,106.104.194.1,106-104-194-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.17.0/24,24,106.105.17.0/24,106.105.17.1,106.105.17.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.18.0/24,24,106.105.18.0/24,106.105.18.1,106.105.18.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.19.0/24,24,106.105.19.0/24,106.105.19.1,106.105.19.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.32.0/24,24,106.105.32.0/24,106.105.32.1,106.105.32.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.34.0/24,24,106.105.34.0/24,106.105.34.1,106.105.34.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.35.0/24,24,106.105.35.0/24,106.105.35.1,106.105.35.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.36.0/24,24,106.105.36.0/24,106.105.36.1,106.105.36.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.37.0/24,24,106.105.37.0/24,106.105.37.1,106.105.37.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.38.0/24,24,106.105.38.0/24,106.105.38.1,106.105.38.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.39.0/24,24,106.105.39.0/24,106.105.39.1,106.105.39.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.40.0/24,24,106.105.40.0/24,106.105.40.1,106.105.40.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.105.64.0/24,24,106.105.64.0/24,106.105.64.1,106.105.64.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.2.0/24,24,106.106.2.0/24,106.106.2.1,106.106.2.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.192.0/24,24,106.106.192.0/24,106.106.192.1,106.106.192.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.193.0/24,24,106.106.193.0/24,106.106.193.1,106.106.193.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.194.0/24,24,106.106.194.0/24,106.106.194.1,106.106.194.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.197.0/24,24,106.106.197.0/24,106.106.197.1,106.106.197.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.198.0/24,24,106.106.198.0/24,106.106.198.1,106.106.198.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.199.0/24,24,106.106.199.0/24,106.106.199.1,106.106.199.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.200.0/24,24,106.106.200.0/24,106.106.200.1,106.106.200.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
