ASN,Org,Prefix,Center_IP,PTR_Hostname,Status,Country,Region,City,Latitude,Longitude,Message
3462,HiNet,122.120.0.0/16,122.120.128.0,122-120-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,122.121.0.0/16,122.121.128.0,122-121-128-0.dynamic-ip.hinet.net,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
3462,HiNet,122.122.0.0/16,122.122.128.0,122-122-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,122.123.0.0/16,122.123.128.0,122-123-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,122.124.0.0/16,122.124.128.0,122-124-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,122.125.0.0/16,122.125.128.0,122-125-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,122.126.0.0/16,122.126.128.0,122-126-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0367,121.524,
3462,HiNet,122.127.0.0/16,122.127.128.0,122-127-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,125.224.0.0/16,125.224.128.0,125-224-128-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,125.225.0.0/16,125.225.128.0,125-225-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,125.226.0.0/16,125.226.128.0,125-226-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,125.227.0.0/16,125.227.128.0,125-227-128-0.hinet-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,125.228.0.0/16,125.228.128.0,125-228-128-0.hinet-ip.hinet.net,success,Taiwan,Hsinchu City,Hsinchu,24.8065,120.9706,
3462,HiNet,125.229.0.0/16,125.229.128.0,125-229-128-0.hinet-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,125.230.0.0/16,125.230.128.0,125-230-128-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,125.231.0.0/16,125.231.128.0,125-231-128-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,125.232.0.0/16,125.232.128.0,125-232-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0367,121.524,
3462,HiNet,125.233.0.0/16,125.233.128.0,125-233-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0367,121.524,
3462,HiNet,128.1.102.0/23,128.1.103.0,,success,Singapore,North West,Singapore,1.35208,103.82,
3462,HiNet,149.117.216.0/24,149.117.216.128,,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,168.95.0.0/16,168.95.128.0,h0.s128.ts.hinet.net,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
3462,HiNet,192.254.86.0/24,192.254.86.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
3462,HiNet,202.39.0.0/18,202.39.32.0,202-39-32-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,202.39.64.0/20,202.39.72.0,202-39-72-0.hinet-ip.hinet.net,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
3462,HiNet,202.39.128.0/17,202.39.192.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,202.126.76.0/24,202.126.76.128,,success,Taiwan,Taiwan,Hsinchu,24.7823,121.006,
3462,HiNet,202.126.77.0/24,202.126.77.128,,success,Taiwan,Taiwan,Hsinchu,24.7823,121.006,
3462,HiNet,203.66.0.0/16,203.66.128.0,203-66-128-0.hinet-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
3462,HiNet,203.69.0.0/16,203.69.128.0,203-69-128-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,203.74.0.0/16,203.74.128.0,203-74-128-0.hinet-ip.hinet.net,success,Taiwan,Taoyuan,Bade District,24.9309,121.2904,
3462,HiNet,203.75.0.0/16,203.75.128.0,203-75-128-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,210.59.128.0/17,210.59.192.0,210-59-192-0.hinet-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,210.61.0.0/16,210.61.128.0,,success,Taiwan,Taipei City,Daan,25.0316,121.5345,
3462,HiNet,210.65.0.0/16,210.65.128.0,210-65-128-0.hinet-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
3462,HiNet,210.65.21.0/24,210.65.21.128,210-65-21-128.hinet-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
3462,HiNet,210.71.128.0/17,210.71.192.0,210-71-192-0.hinet-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,210.241.224.0/19,210.241.240.0,210-241-240-0.hinet-ip.hinet.net,success,Taiwan,Miaoli,Miaoli,24.5641,120.8275,
3462,HiNet,210.242.0.0/16,210.242.128.0,210-242-128-0.hinet-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,211.20.0.0/16,211.20.128.0,211-20-128-0.hinet-ip.hinet.net,success,Taiwan,Taichung City,Taichung City,24.1547,120.6716,
3462,HiNet,211.21.0.0/16,211.21.128.0,211-21-128-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,211.22.0.0/16,211.22.128.0,211-22-128-0.hinet-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,211.22.33.0/24,211.22.33.128,211-22-33-128.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,211.23.0.0/16,211.23.128.0,211-23-128-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,211.72.0.0/16,211.72.128.0,211-72-128-0.hinet-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
