asn,name,prefix,family,center_ip,geo_status,geo_message,country,region,city,lat,lon,isp,as,query
3462,HiNet,111.244.0.0/18,ipv4,111.244.32.0,success,,Taiwan,Taiwan,Taipei,25.0367,121.524,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.244.32.0
3462,HiNet,111.244.64.0/18,ipv4,111.244.96.0,success,,Taiwan,Taiwan,Taipei,25.0367,121.524,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.244.96.0
3462,HiNet,111.244.128.0/17,ipv4,111.244.192.0,success,,Taiwan,Taiwan,Taipei,25.0367,121.524,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.244.192.0
3462,HiNet,111.245.0.0/16,ipv4,111.245.128.0,success,,Taiwan,Taiwan,Taipei,25.0367,121.524,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.245.128.0
3462,HiNet,111.246.0.0/16,ipv4,111.246.128.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.246.128.0
3462,HiNet,111.247.0.0/16,ipv4,111.247.128.0,success,,Taiwan,Taiwan,Taipei,25.0334,121.566,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.247.128.0
3462,HiNet,111.248.0.0/16,ipv4,111.248.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.248.128.0
3462,HiNet,111.249.0.0/16,ipv4,111.249.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.249.128.0
3462,HiNet,111.250.0.0/16,ipv4,111.250.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.250.128.0
3462,HiNet,111.251.0.0/16,ipv4,111.251.128.0,success,,Taiwan,Taoyuan,Taoyuan District,24.9889,121.3176,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.251.128.0
3462,HiNet,111.252.0.0/16,ipv4,111.252.128.0,success,,Taiwan,Changhua,Chang-hua,24.0761,120.5648,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.252.128.0
3462,HiNet,111.253.0.0/16,ipv4,111.253.128.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.253.128.0
3462,HiNet,111.254.0.0/16,ipv4,111.254.128.0,success,,Taiwan,Tainan,Tainan City,22.9917,120.2148,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.254.128.0
