source_asn,source_name,target_asn,target_name,occurrences,source_is_taiwan,target_is_taiwan,source_is_tier1,target_is_tier1
4780,SeedNet,24429,,404,True,False,False,False
3320,,9002,,401,False,False,True,False
17709,,13335,,401,False,False,False,False
7713,,9924,Taiwan Fixed Network,396,False,True,False,False
6461,,9002,,391,False,False,True,False
7713,,174,,390,False,False,False,True
6461,,2914,,390,False,False,True,True
16552,,6939,,387,False,False,False,False
21859,,137922,,383,False,False,False,False
17709,,22787,,381,False,False,False,False
4637,,15412,,379,False,False,False,False
6830,,1299,,376,False,False,True,True
4780,SeedNet,131636,,376,True,False,False,False
37721,,9924,Taiwan Fixed Network,368,False,True,False,False
6453,,15412,,367,False,False,True,False
3462,HiNet (Chunghwa),38843,,366,True,False,False,False
6461,,15412,,355,False,False,True,False
134823,,152179,,353,False,False,False,False
139750,,139750,,351,False,False,False,False
4637,,9002,,347,False,False,False,False
6830,,3356,,343,False,False,True,True
17420,,17420,,338,False,False,False,False
17408,,18419,,338,False,False,False,False
21859,,38090,,336,False,False,False,False
2497,,4780,SeedNet,328,False,True,False,False
148968,,1299,,327,False,False,False,True
38856,,212360,,326,False,False,False,False
6939,,9505,,320,False,False,False,False
18106,,9924,Taiwan Fixed Network,318,False,True,False,False
2516,,2914,,318,False,False,False,True
4780,SeedNet,131683,,315,True,False,False,False
24155,,38797,,312,False,False,False,False
10310,,10310,,312,False,False,False,False
7575,,9002,,304,False,False,False,False
9924,Taiwan Fixed Network,33619,,298,True,False,False,False
17709,,131671,,294,False,False,False,False
2497,,3356,,293,False,False,False,True
11164,,15412,,284,False,False,False,False
19151,,15412,,284,False,False,False,False
63897,,135391,,284,False,False,False,False
23673,,58453,,284,False,False,False,False
40934,,15412,,284,False,False,False,False
134823,,18415,,280,False,False,False,False
4780,SeedNet,131143,,278,True,False,False,False
58511,,15412,,278,False,False,False,False
9924,Taiwan Fixed Network,18106,,277,True,False,False,False
7483,,7483,,276,False,False,False,False
60068,,3257,,276,False,False,False,True
16552,,9924,Taiwan Fixed Network,272,False,True,False,False
23673,,9924,Taiwan Fixed Network,272,False,True,False,False
151326,,9924,Taiwan Fixed Network,272,False,True,False,False
17660,,9924,Taiwan Fixed Network,272,False,True,False,False
3257,,58453,,272,False,False,True,False
3320,,15412,,268,False,False,True,False
41095,,58453,,261,False,False,False,False
17408,,138995,,261,False,False,False,False
4780,SeedNet,4783,,260,True,False,False,False
6939,,1299,,255,False,False,False,True
24482,,3462,HiNet (Chunghwa),255,False,True,False,False
4780,SeedNet,18046,,251,True,False,False,False
6453,,2914,,249,False,False,True,True
7713,,6939,,248,False,False,False,False
6830,,9002,,247,False,False,True,False
49544,,15412,,244,False,False,False,False
132847,,6939,,241,False,False,False,False
7594,,6939,,241,False,False,False,False
20253,,6939,,241,False,False,False,False
38880,,58453,,241,False,False,False,False
63897,,63897,,240,False,False,False,False
6762,,9680,,238,False,False,True,False
21859,,62610,,236,False,False,False,False
62610,,13444,,236,False,False,False,False
19151,,58453,,232,False,False,False,False
398465,,174,,232,False,False,False,True
6453,,9505,,232,False,False,True,False
199524,,12956,,231,False,False,False,False
24516,,6939,,229,False,False,False,False
134823,,131642,,229,False,False,False,False
7575,,9505,,228,False,False,False,False
199524,,6762,,225,False,False,False,True
7533,,7533,,224,False,False,False,False
7539,TWARENet,18426,,224,True,False,False,False
4901,,11537,,223,False,False,False,False
4637,,58453,,221,False,False,False,False
9924,Taiwan Fixed Network,38837,,219,True,False,False,False
9924,Taiwan Fixed Network,131595,,216,True,False,False,False
63927,,4766,,214,False,False,False,False
3462,HiNet (Chunghwa),18421,,212,True,False,False,False
3462,HiNet (Chunghwa),150772,,212,True,False,False,False
3462,HiNet (Chunghwa),3911,,212,True,False,False,False
9924,Taiwan Fixed Network,11179,,211,True,False,False,False
4780,SeedNet,18410,,209,True,False,False,False
9924,Taiwan Fixed Network,19637,,209,True,False,False,False
4780,SeedNet,131584,,209,True,False,False,False
4780,SeedNet,142592,,209,True,False,False,False
4780,SeedNet,18211,,209,True,False,False,False
4780,SeedNet,23675,,209,True,False,False,False
9924,Taiwan Fixed Network,40934,,208,True,False,False,False
2907,,2907,,208,False,False,False,False
9924,Taiwan Fixed Network,3911,,208,True,False,False,False
9924,Taiwan Fixed Network,11528,,207,True,False,False,False
9924,Taiwan Fixed Network,16477,,206,True,False,False,False
4657,,9924,Taiwan Fixed Network,201,False,True,False,False
4637,,1221,,200,False,False,False,False
3462,HiNet (Chunghwa),4637,,200,True,False,False,False
6079,,6939,,200,False,False,False,False
7473,,6939,,199,False,False,False,False
18185,,18420,,199,False,False,False,False
4826,,9924,Taiwan Fixed Network,198,False,True,False,False
17408,,38851,,197,False,False,False,False
38880,,9002,,195,False,False,False,False
134094,,18702,,195,False,False,False,False
10310,,10880,,194,False,False,False,False
17408,,133847,,192,False,False,False,False
7473,,15412,,191,False,False,False,False
3462,HiNet (Chunghwa),131273,,191,True,False,False,False
4637,,3462,HiNet (Chunghwa),190,False,True,False,False
131273,,63888,,190,False,False,False,False
134823,,152613,,188,False,False,False,False
6057,,3356,,188,False,False,False,True
63927,,9680,,187,False,False,False,False
293,,6939,,186,False,False,False,False
17717,,1659,TANet,186,False,True,False,False
17709,,131587,,186,False,False,False,False
58952,,9924,Taiwan Fixed Network,185,False,True,False,False
17709,,131593,,185,False,False,False,False
21859,,131659,,183,False,False,False,False
21859,,137280,,180,False,False,False,False
2914,,2914,,177,False,False,True,True
6939,,2914,,176,False,False,False,True
7539,TWARENet,17717,,176,True,False,False,False
17415,,17415,,174,False,False,False,False
132337,,58453,,174,False,False,False,False
4766,,3491,,168,False,False,False,True
293,,9002,,168,False,False,False,False
9002,,58453,,167,False,False,False,False
7575,,2914,,167,False,False,False,True
151326,,135607,,165,False,False,False,False
7539,TWARENet,18181,,164,True,False,False,False
1221,,21859,,162,False,False,False,False
17676,,3462,HiNet (Chunghwa),161,False,True,False,False
17709,,17710,,161,False,False,False,False
135607,,6939,,161,False,False,False,False
134823,,131639,,159,False,False,False,False
134823,,150881,,159,False,False,False,False
17709,,131588,,159,False,False,False,False
17709,,131636,,159,False,False,False,False
3320,,6939,,158,False,False,True,False
17408,,18422,,158,False,False,False,False
10310,,45501,,158,False,False,False,False
23855,,7660,,156,False,False,False,False
132337,,9924,Taiwan Fixed Network,156,False,True,False,False
3462,HiNet (Chunghwa),11528,,156,True,False,False,False
4780,SeedNet,18106,,155,True,False,False,False
3356,,58453,,151,False,False,True,False
21859,,150436,,150,False,False,False,False
17350,,6461,,146,False,False,False,True
17660,,6939,,146,False,False,False,False
17408,,139750,,144,False,False,False,False
38325,,38325,,144,False,False,False,False
134823,,150755,,141,False,False,False,False
3462,HiNet (Chunghwa),3614,,139,True,False,False,False
1299,,3356,,137,False,False,True,True
58952,,58453,,136,False,False,False,False
293,,7539,TWARENet,132,False,True,False,False
17408,,131607,,130,False,False,False,False
4780,SeedNet,140079,,129,True,False,False,False
135377,,395793,,128,False,False,False,False
2497,,58453,,128,False,False,False,False
41095,,15412,,124,False,False,False,False
